Language,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50
English,1515000000,1515332611,1516004484,1517022373,1518393129,1520123709,1522221172,1524692682,1527545511,1530787038,1534424752,1538466252,1542919250,1547791572,1553091159,1558826070,1565004480,1571634686,1578725107,1586284283,1594320881,1602843694,1611861641,1621383773,1631419272,1641977454,1653067768,1664699801,1676883279,1689628067,1702944173,1716841749,1731331093,1746422650,1762127016,1778454937,1795417315,1813025206,1831289823,1850222541,1869834895,1890138584,1911145474,1932867599,1955317162,1978506541,2002448286,2027155126,2052639969,2078915903,2105996203
Chinese,1140000000,1140074073,1140223701,1140450387,1140755658,1141141062,1141608172,1142158583,1142793915,1143515810,1144325938,1145225989,1146217682,1147302760,1148482990,1149760168,1151136115,1152612677,1154191731,1155875177,1157664946,1159562997,1161571315,1163691916,1165926845,1168278177,1170748016,1173338497,1176051786,1178890080,1181855608,1184950631,1188177442,1191538367,1195035766,1198672032,1202449594,1206370912,1210438485,1214654846,1219022563,1223544242,1228222526,1233060094,1238059665,1243223993,1248555876,1254058147,1259733682,1265585394,1271616240
Hindi,609000000,609092500,609279349,609562425,609943634.5,610424911.5,611008219.2,611695550.2,612488926.4,613390400.2,614402054.2,615526001.7,616764387.5,618119388,619593211.5,621188099.2,622906324.9,624750195.8,626722053,628824271.9,631059262.5,633429470.1,635937375.4,638585495.5,641376383.7,644312630.7,647396864.6,650631751.4,654019995.8,657564341.5,661267571.6,665132509.5,669162018.9,673359004.8,677726413.7,682267234.5,686984498.6,691881280.8,696960699.8,702225918.5,707680145.1,713326633.2,719168682.6,725209639.9,731452898.9,737901901.8,744560138.9,751431150.2,758518525.2,765825904.2,773356978.4
Spanish,560000000,560023051,560069615,560140159.4,560235159,560355095.9,560500459.4,560671746.1,560869459.9,561094112.2,561346222.1,561626316,561934928.7,562272602.4,562639887.4,563037342.4,563465533.8,563925036.7,564416434.5,564940319.2,565497291.3,566087960.3,566712944.3,567372870.6,568068375.5,568800104.7,569568713,570374864.8,571219234.2,572102505,573025370.6,573988534.7,574992710.9,576038623.2,577127005.9,578258603.8,579434172.3,580654477.8,581920297.4,583232419.3,584591643,585998779.3,587454650.6,588960090.9,590515945.9,592123073.4,593782343.3,595494637.6,597260851,599081890.7,600958676.4
Arabic,332000000,332106571,332321845,332647984.9,333087186.7,333641678.8,334313723.3,335105615.7,336019685.9,337058298,338223851.7,339518781.8,340945559.4,342506691.8,344204723.5,346042236.5,348021850.4,350146223.6,352418053.3,354840076.1,357415068.8,360145848.6,363035273.7,366086243.9,369301701.3,372684630.3,376238059,379965059,383868746.4,387952282.2,392218873.1,396671771.8,401314277.8,406149738,411181547.2,416413148.8,421848035.4,427489749.7,433341884.7,439408084.7,445692045.6,452197516.2,458928298.2,465888247.3,473081273.8,480511343.2,488182477,496098753.7,504264308.8,512683336.3,521360089.2
French,312000000,312068183,312205911,312414570,312695564,313050318.8,313480281.8,313986921.4,314571728.3,315236215.1,315981917,316810391.8,317723220.3,318722007,319808379.5,320983989.7,322250513.8,323609652.5,325063131.4,326612701.4,328260139,330007246.6,331855852.8,333807812.9,335865009.1,338029350.9,340302775.6,342687248.3,345184762.7,347797341.1,350527035.1,353375925.8,356346124,359439771.2,362659039.1,366006130.9,369483281.2,373092756.3,376836855.1,380717909.1,384738283,388900375.1,393206617.6,397659477.5,402261456.4,407015091.4,411922955.5,416987657.8,422211844.4,427598198.4,433149440.9
Bengali,278000000,278012179,278036782,278074054.5,278124248.3,278187618,278264422.1,278354923,278459386.8,278578083.8,278711288.3,278859278.4,279022336.6,279200749.5,279394807.7,279604806.5,279831045.2,280073827.7,280333462,280610261.1,280904542.2,281216627.4,281546843.2,281895521,282262997.2,282649612.7,283055713.6,283481651.1,283927781.1,284394464.9,284882069.1,285390965.3,285921530.7,286474147.6,287049204.2,287647093.9,288268215.9,288912975,289581781.9,290275053,290993210.8,291736683.7,292505906.1,293301318.7,294123368.4,294972508.3,295849198.1,296753903.9,297687098.3,298649260.6,299640876.8
Portuguese,264000000,264010043,264030329,264061061.9,264102449.5,264154701.2,264218030.4,264292653.2,264378789.3,264476661.5,264586495.7,264708521.6,264842971.9,264990083,265150094.6,265323250,265509796.1,265709983.3,265924065.9,266152301.8,266394952.5,266652283.6,266924564.5,267212068.3,267515072.3,267833857.7,268168710,268519918.5,268887776.8,269272583,269674639.1,270094251.6,270531731.5,270987394.1,271461559.4,271954551.9,272466700.6,272998339.5,273549807,274121446.7,274713606.7,275326640.4,275960906,276616766.8,277294591.3,277994753.2,278717631.5,279463610.5,280233079.8,281026434.8,281844076.2
Russian,255000000,255031819,255096095,255193471.4,255324605.6,255490162.4,255690817.4,255927255.8,256200173.3,256510275.8,256858279.7,257244912,257670910.6,258137024,258644011.9,259192645.3,259783706.4,260417988.8,261096297.8,261819450.6,262588276.2,263403615.8,264266322.7,265177262.8,266137314.5,267147368.8,268208329.8,269321114.8,270486653.9,271705891.2,272979783.9,274309303.2,275695434.3,277139176.5,278641543.4,280203563.1,281826278.4,283510747.1,285258041.9,287069250.8,288945477.6,290887841.3,292897477.2,294975536.3,297123186.3,299341611.1,301632011.4,303995605,306433626.7,308947328.6,311537980.5
Urdu,238000000,238049906,238150716,238303442.7,238509115.1,238768776.4,239083485.9,239454318.6,239882365.5,240368733.7,240914547,241520945.6,242189086.5,242920144.1,243715309.8,244575792.7,245502819.5,246497635.3,247561502.9,248695704,249901538.9,251180326.7,252533406.1,253962134.9,255467890.8,257052071.5,258716094.9,260461399.5,262289444.4,264201709.9,266199697.7,268284931,270458954.9,272723336.6,275079665.9,277529555.4,280074640.6,282716580.4,285457057.4,288297778.2,291240473.6,294286899,297438834.7,300698086.3,304066485,307545887.7,311138177.7,314845264.8,318669085.7,322611604.4,326674812.5